u,v,key,street_name,traffic_volume,relative_traffic
96318141,108655223,0,Crows Court,4,0.0018975332068311196
96318141,108532324,0,Ridge Drive,234,0.1110056925996205
96318141,108549156,0,Ridge Drive,238,0.11290322580645161
96357738,108574586,0,Garret Court,10,0.004743833017077799
96406790,108606149,0,Log Tavern Way,0,0.0
96406790,108574538,0,Gold Key Road,140,0.06641366223908918
96406790,108603910,0,Gold Key Road,138,0.06546489563567362
96406816,108549350,0,Log Tavern Way,2,0.0009487666034155598
96406816,108682251,0,Colonia Road,24,0.011385199240986717
96406816,108603910,0,Colonia Road,26,0.012333965844402278
96412046,4195371881,0,Fox Hill Court,2,0.0009487666034155598
96488665,7781339872,0,Peach Place,130,0.061669829222011384
96488665,108601760,0,Cottonwood Court,46,0.021821631878557873
96488665,108563847,0,Cottonwood Court,76,0.036053130929791274
96516859,108669820,0,Stafford Court,4,0.0018975332068311196
96516934,108669820,0,Stafford Court,14,0.006641366223908918
96597859,108563831,0,Redwood Court,4,0.0018975332068311196
96597877,108563831,0,Redwood Court,8,0.003795066413662239
108512969,108552542,0,North Forrest Drive,34,0.016129032258064516
108512969,108615944,0,North Forrest Drive,42,0.019924098671726755
108512969,108549019,0,Dogwood Terrace,32,0.015180265654648957
108520406,108604145,0,Gold Key Road,2108,1.0
108520406,4748095425,0,Log Tavern Road,4,0.0018975332068311196
108520406,108677770,0,Log Tavern Road,10,0.004743833017077799
108532324,108555103,0,White Deer Road,8,0.003795066413662239
108532324,108549227,0,Ridge Drive,222,0.10531309297912714
108545943,2025353849,0,Wordsworth Road,18,0.008538899430740038
108545943,108596578,0,Coleridge Terrace,6,0.0028462998102466793
108545943,108549256,0,Coleridge Terrace,10,0.004743833017077799
108546635,108546638,0,Dandelion Court,4,0.0018975332068311196
108546635,108652590,0,Orange Blossom Road,338,0.1603415559772296
108546635,108590410,0,Orange Blossom Road,332,0.15749525616698293
108548525,108548528,0,Hummingbird Court,6,0.0028462998102466793
108548528,108549114,0,Ridge Drive,300,0.14231499051233396
108548528,108549105,0,Ridge Drive,306,0.14516129032258066
108548956,108549019,0,North Ridge Drive,182,0.08633776091081594
108548956,108615978,0,North Forrest Drive,76,0.036053130929791274
108548956,108615944,0,North Forrest Drive,82,0.03889943074003795
108549019,108549026,0,North Ridge Drive,216,0.10246679316888045
108549026,108604053,0,Gold Key Road,966,0.45825426944971537
108549026,108549059,0,Ridge Drive,30,0.014231499051233396
108549026,108604098,0,Gold Key Road,1234,0.5853889943074004
108549059,108703961,0,Squirrel Court,0,0.0
108549059,108549074,0,Ridge Drive,12,0.0056925996204933585
108549074,108738100,0,Cricket Court,0,0.0
108549074,108549105,0,Ridge Drive,6,0.0028462998102466793
108549105,108629514,0,Orange Blossom Road,308,0.1461100569259962
108549114,108690917,0,White Deer Road,30,0.014231499051233396
108549114,108549122,0,Ridge Drive,270,0.12808349146110057
108549122,108687178,0,Blackbird Court,4,0.0018975332068311196
108549122,108549136,0,Ridge Drive,266,0.12618595825426945
108549136,108668598,0,Nuthatch Court,8,0.003795066413662239
108549136,108549146,0,Ridge Drive,254,0.1204933586337761
108549146,108549149,0,Ridge Drive,250,0.11859582542694497
108549146,108552525,0,Starling Court,4,0.0018975332068311196
108549149,108668481,0,Mockingbird Court,4,0.0018975332068311196
108549149,108549156,0,Ridge Drive,244,0.1157495256166983
108549156,108634956,0,Dove Court,4,0.0018975332068311196
108549227,108722417,0,Daisy Place,64,0.030360531309297913
108549227,2025353849,0,Ridge Drive,144,0.0683111954459203
108549256,108549258,0,Ridge Drive,98,0.046489563567362426
108549256,2025353849,0,Ridge Drive,116,0.05502846299810247
108549258,108665715,0,Byron Road,10,0.004743833017077799
108549258,108549287,0,Ridge Drive,82,0.03889943074003795
108549287,108655423,0,Fieldstone Way,24,0.011385199240986717
108549287,108549291,0,Ridge Drive,48,0.022770398481973434
108549291,108665755,0,East Lake Drive,46,0.021821631878557873
108549291,108665720,0,East Lake Drive,8,0.003795066413662239
108549350,108606149,0,Log Tavern Way,12,0.0056925996204933585
108549350,108549376,0,Schlage Road,10,0.004743833017077799
108549376,7741078946,0,Colonia Road,6,0.0028462998102466793
108549376,108549396,0,Schlage Road,4,0.0018975332068311196
108549376,108682251,0,Colonia Road,14,0.006641366223908918
108549396,108557559,0,Gold Key Road,98,0.046489563567362426
108549396,108603890,0,Gold Key Road,90,0.04269449715370019
108552542,108552589,0,Stonehenge Road,34,0.016129032258064516
108552542,108615918,0,North Forrest Drive,20,0.009487666034155597
108552589,108566969,0,Stonehenge Road,12,0.0056925996204933585
108552589,108628772,0,Walnut Road,8,0.003795066413662239
108555103,108555105,0,Spike Place,2,0.0009487666034155598
108555103,108690917,0,White Deer Road,26,0.012333965844402278
108555105,108665662,0,East Lake Drive,82,0.03889943074003795
108555105,108665628,0,East Lake Drive,104,0.04933586337760911
108557559,108557562,0,Hillside Terrace,0,0.0
108557559,108603910,0,Gold Key Road,108,0.051233396584440226
108557562,108557564,0,Hillside Terrace,238,0.11290322580645161
108557562,108574538,0,Gap View Road,266,0.12618595825426945
108557564,108579919,0,Southwynd Drive,212,0.10056925996204934
108557564,108603890,0,Southwynd Drive,20,0.009487666034155597
108559360,108606314,0,Clover Place,24,0.011385199240986717
108559360,108633372,0,Clover Place,42,0.019924098671726755
108559360,108559373,0,Clover Court,8,0.003795066413662239
108563831,108563847,0,Redwood Road,24,0.011385199240986717
108563847,108594523,0,Cottonwood Court,38,0.018026565464895637
108566969,108566996,0,Stonehenge Road,20,0.009487666034155597
108566969,108728365,0,Williams Drive,20,0.009487666034155597
108566996,108581014,0,North Forrest Drive,6,0.0028462998102466793
108566996,108615978,0,North Forrest Drive,42,0.019924098671726755
108573424,108573431,0,Hickory Road,30,0.014231499051233396
108573424,108616759,0,Butternut Road,2,0.0009487666034155598
108573424,108695825,0,Butternut Road,26,0.012333965844402278
108573431,108573436,0,Hickory Road,54,0.025616698292220113
108573431,108602772,0,Hemlock Road,22,0.010436432637571158
108573436,108573452,0,Hickory Road,78,0.03700189753320683
108573436,108607097,0,White Pine Drive,16,0.007590132827324478
108573452,108616039,0,Yale Road,124,0.058823529411764705
108573452,108616688,0,Yale Road,44,0.020872865275142316
108574538,108603925,0,Gold Key Road,416,0.19734345351043645
108574586,108696032,0,Kiel Road,28,0.013282732447817837
108574586,108580978,0,Kiel Road,18,0.008538899430740038
108575818,108575836,0,Spruce Place,10,0.004743833017077799
108575818,108614541,0,Butternut Road,46,0.021821631878557873
108575818,108614483,0,Butternut Road,72,0.03415559772296015
108575836,108614541,0,Spruce Drive,34,0.016129032258064516
108575836,108614486,0,Spruce Drive,64,0.030360531309297913
108579566,108579614,0,Heron Bay,18,0.008538899430740038
108579614,108603981,0,Gold Key Road,536,0.25426944971537
108579614,108603942,0,Gold Key Road,518,0.24573055028462998
108579919,108579995,0,Southwynd Drive,196,0.09297912713472485
108579919,108691336,0,Hackney Court,12,0.0056925996204933585
108579995,108580001,0,Southwynd Drive,72,0.03415559772296015
108579995,108616257,0,Northwynd Drive,96,0.04554079696394687
108580001,108580033,0,Southwynd Drive,30,0.014231499051233396
108580001,108628203,0,Morgan Court,38,0.018026565464895637
108580033,108616257,0,French Coach Road,36,0.017077798861480076
108580033,108624110,0,Southwynd Drive,2,0.0009487666034155598
108580978,108581014,0,Bricker Road,16,0.007590132827324478
108580978,108615978,0,Kiel Road,26,0.012333965844402278
108581014,108616021,0,North Forrest Drive,14,0.006641366223908918
108590410,108590414,0,Daffodil Court,8,0.003795066413662239
108590410,108666873,0,Orange Blossom Road,320,0.15180265654648956
108594375,108594398,0,Circle Drive,6,0.0028462998102466793
108594398,108594487,0,Circle Drive,210,0.09962049335863378
108594398,108615918,0,Butternut Road,188,0.08918406072106262
108594487,108594523,0,Circle Drive,4,0.0018975332068311196
108594487,7781339872,0,Peach Road,228,0.10815939278937381
108594523,108594562,0,Circle Drive,28,0.013282732447817837
108594562,108594574,0,Circle Drive,8,0.003795066413662239
108594562,108601760,0,Cottonwood Court,26,0.012333965844402278
108596578,108665715,0,East Lake Drive,36,0.017077798861480076
108596578,108665703,0,East Lake Drive,50,0.023719165085388995
108602772,108695825,0,Walnut Road,4,0.0018975332068311196
108602772,108628772,0,Walnut Road,6,0.0028462998102466793
108603715,108603740,0,Gold Key Road,28,0.013282732447817837
108603715,108665755,0,East Lake Drive,38,0.018026565464895637
108603715,108655423,0,Black Forest Drive,8,0.003795066413662239
108603740,108603742,0,Gold Key Road,18,0.008538899430740038
108603740,108720834,0,Keyes Court,0,0.0
108603742,4195371881,0,Gold Key Road,12,0.0056925996204933585
108603742,108731590,0,Diamond Spring Road,4,0.0018975332068311196
108603803,108603828,0,Gold Key Road,8,0.003795066413662239
108603803,4195371881,0,Gold Key Road,10,0.004743833017077799
108603803,108658788,0,Johnson Road,10,0.004743833017077799
108603828,108603837,0,Gold Key Road,50,0.023719165085388995
108603828,108669979,0,Northwynd Drive,40,0.018975332068311195
108603837,108603890,0,Gold Key Road,80,0.03795066413662239
108603837,108707426,0,Inverness Court,14,0.006641366223908918
108603925,108603942,0,Gold Key Road,442,0.20967741935483872
108603925,108606149,0,Robin Run Road,26,0.012333965844402278
108603942,108739617,0,Sunnylands Road,74,0.03510436432637571
108603981,108616688,0,Yale Place,14,0.006641366223908918
108603981,108604015,0,Gold Key Road,556,0.2637571157495256
